InvoiceID,ResID, RoomNumber, ChargeTypeID, ChargeDate, Duration, RoomTypeID, TypeName, Features, FtPrice, BasePrice, SeasonalPrice, SubTotal, DiscountAmt, DiscountPer, Total,Notes,
1,19,100,515,1,10/17/2017 0:00,6,1,Standard,Poolside,10,100,100,660,10,0,650,\N
2,135,100,94,1,11/12/2017 0:00,7,1,Standard,Poolside,10,100,150,1120,\N,\N,1120,\N
3,430,100,225,1,10/30/2017 0:00,7,1,Standard,Poolside,10,100,100,770,\N,\N,770,\N
4,157,101,87,1,10/26/2017 0:00,1,1,Standard,Poolside,10,100,100,110,\N,\N,110,\N
5,618,101,65,1,10/18/2017 0:00,4,1,Standard,Poolside,10,100,100,440,\N,\N,440,\N
6,981,101,365,1,11/5/2017 0:00,3,1,Standard,Poolside,10,100,150,480,10,0,470,\N
7,1,102,767,1,11/10/2017 0:00,4,1,Standard,Poolside,10,100,150,640,\N,\N,640,\N
8,53,102,199,1,10/24/2017 0:00,1,1,Standard,Poolside,10,100,100,110,10,0,100,\N
9,442,102,175,1,11/8/2017 0:00,7,1,Standard,Poolside,10,100,150,1120,\N,\N,1120,\N
10,539,102,497,1,11/2/2017 0:00,4,1,Standard,Poolside,10,100,150,640,\N,\N,640,\N
11,87,103,1000,1,11/3/2017 0:00,1,1,Standard,Poolside,10,100,150,160,\N,\N,160,\N
12,769,103,152,1,10/28/2017 0:00,6,1,Standard,Poolside,10,100,100,660,10,0,650,\N
13,762,104,520,1,11/4/2017 0:00,3,1,Standard,Poolside,10,100,150,480,\N,\N,480,\N
14,797,104,632,1,10/21/2017 0:00,5,1,Standard,Poolside,10,100,100,550,\N,\N,550,\N
15,19,105,515,1,10/17/2017 0:00,6,1,Standard,Poolside,10,100,100,660,10,0,650,\N
16,129,106,147,1,10/29/2017 0:00,2,1,Standard,Poolside,10,100,100,220,10,0,210,\N
17,511,106,584,1,10/27/2017 0:00,1,1,Standard,Poolside,10,100,100,110,\N,\N,110,\N
18,108,107,742,1,10/24/2017 0:00,1,1,Standard,Poolside,10,100,100,110,\N,\N,110,\N
19,163,108,630,1,10/22/2017 0:00,6,1,Standard,Poolside,10,100,100,660,\N,\N,660,\N
20,19,109,515,1,10/17/2017 0:00,6,1,Standard,Poolside,10,100,100,660,10,0,650,\N
21,161,110,556,1,11/7/2017 0:00,1,1,Standard,Poolside,10,100,150,160,\N,\N,160,\N
22,441,110,651,1,11/11/2017 0:00,1,1,Standard,Poolside,10,100,150,160,\N,\N,160,\N
23,610,110,954,1,10/18/2017 0:00,1,1,Standard,Poolside,10,100,100,110,\N,\N,110,\N
24,465,111,502,1,10/24/2017 0:00,7,1,Standard,Poolside,10,100,100,770,\N,\N,770,\N
25,795,113,705,1,10/28/2017 0:00,1,1,Standard,Poolside,10,100,100,110,\N,\N,110,\N
26,203,114,92,1,11/10/2017 0:00,5,1,Standard,Poolside,10,100,150,800,\N,\N,800,\N
27,278,114,613,1,10/24/2017 0:00,2,1,Standard,Poolside,10,100,100,220,\N,\N,220,\N
28,903,114,811,1,10/22/2017 0:00,7,1,Standard,Poolside,10,100,100,770,10,0,760,\N
29,940,116,841,1,10/31/2017 0:00,3,1,Standard,Poolside,10,100,100,330,10,0,320,\N
30,62,118,231,1,10/20/2017 0:00,7,1,Standard,Poolside,10,100,100,770,\N,\N,770,\N
