ResSvcID,ResID,RoomNumber,SvcID,DateTime,ChargeID
1,280,217,4,2017-10-22 06:59:56,2
2,722,460,3,2017-11-06 21:21:36,2
3,27,212,3,2017-11-03 04:29:25,2
4,933,241,4,2017-11-08 02:49:29,2
5,15,241,2,2017-11-04 00:23:37,2
6,246,365,1,2017-11-01 02:56:46,2
7,361,573,4,2017-10-20 13:32:37,2
8,650,502,2,2017-11-05 20:30:26,2
9,101,597,2,2017-10-26 01:54:10,2
10,768,428,1,2017-11-03 07:14:26,2
11,990,586,1,2017-11-11 17:05:08,2
12,980,310,4,2017-11-11 14:34:52,2
13,367,560,1,2017-11-10 23:30:18,2
14,977,235,2,2017-10-25 07:56:44,2
15,145,373,2,2017-10-19 10:10:15,2
16,995,426,3,2017-11-04 12:28:43,2
17,289,182,2,2017-10-23 00:37:06,2
18,723,337,3,2017-10-21 14:40:21,2
19,388,321,2,2017-10-21 09:07:13,2
20,347,142,4,2017-10-27 21:01:56,2
21,414,174,5,2017-11-07 19:51:42,2
22,573,383,2,2017-11-11 15:40:04,2
23,941,382,2,2017-11-09 04:57:11,2
24,759,261,5,2017-11-09 01:35:43,2
25,205,245,3,2017-10-24 23:45:38,2
26,81,173,4,2017-10-19 06:42:29,2
27,574,561,4,2017-10-28 07:54:05,2
28,342,222,3,2017-10-27 23:34:46,2
29,20,582,5,2017-10-18 21:54:10,2
30,234,459,4,2017-11-03 14:28:04,2
31,16,408,4,2017-11-09 17:10:54,2
32,884,495,2,2017-11-12 13:51:55,2
33,775,342,3,2017-10-21 17:49:56,2
34,237,348,5,2017-11-16 03:53:54,2
35,731,318,5,2017-10-26 06:40:22,2
36,705,259,3,2017-11-09 02:03:30,2
37,466,144,1,2017-10-22 15:44:53,2
38,578,379,3,2017-10-21 00:14:10,2
39,690,522,4,2017-11-02 23:27:42,2
40,815,217,1,2017-10-30 05:34:22,2
41,108,107,4,2017-10-25 02:18:55,2
42,567,273,4,2017-10-26 04:24:35,2
43,885,369,1,2017-10-17 08:37:40,2
44,501,410,1,2017-10-30 04:16:52,2
45,172,325,3,2017-10-25 05:25:18,2
46,548,371,2,2017-11-10 22:05:34,2
47,577,137,4,2017-11-11 19:50:01,2
48,794,476,3,2017-11-17 05:56:22,2
49,498,483,5,2017-10-31 02:40:36,2
50,207,334,2,2017-11-09 05:54:07,2
51,780,207,2,2017-11-07 11:29:42,2
52,947,173,3,2017-10-24 19:50:40,2
53,105,407,4,2017-10-27 14:24:18,2
54,763,177,2,2017-11-12 04:35:41,2
55,645,295,4,2017-11-01 02:22:11,2
56,704,267,5,2017-10-30 16:56:11,2
57,190,496,2,2017-11-12 16:07:16,2
58,468,580,5,2017-10-31 10:46:23,2
59,830,188,1,2017-10-27 11:21:11,2
