HeadquartersID,Email
1,watchtower@moon.moon
2,realclubhouse@metroplis.cty
3,lonelyforetress@metropolis.cty
4,notabatcave@batmail.com
5,markovia@gmail.com
6,westernbat@batmail.com
7,newavengers77@yahoo.com
8,avengerstower@stark.gov
9,baxterbin@baxter.org
10,hammondteam@salem.ny
11,doomgard@battleworld.net
12,planetoa@hotmail.com
13,mogoformogo@universe5.co
14,captainelcapitan@us.gov
15,myladyfreedom@us.gov
16,taa2galactus@galactus.net
17,instituteX@xavier.edu
18,cavemenX@thecavery.com
19,aerieangle1988@fastmail.com
20,shieldofficial@shield.gov
21,triskelion55@otherworlds.net
22,iliadcarrier@us.gov
23,starkwest@stark.gov
24,toweroftitans@jump.cty
25,sansansansan@san.san
