NAME>!@Bog 212,3Sigma,Bog 212,1,1,<none>
Fend Blues,3Sigma,Fend Blues,2,34,<none>
Fend Deville,3Sigma,Fend Deville,3,36,<none>
LegaC 412,3Sigma,LegaC 412,4,1,<none>
Marsh 1960A,3Sigma,Marsh 1960A,5,2,<none>
Mart 45,3Sigma,Mart 45,NULL,NULL,<none>
Mes Rec,3Sigma,Mes Rec,7,1,<none>
Morg 212,3Sigma,Morg 212,8,3,<none>
Port 212,3Sigma,Port 212,9,1,<none>
Port 412,3Sigma,Port 412,10,1,<none>
Catharsis,Catharsis,Catharsis,7,1,<none>
5153,Fractal,4x12 Collection,11,4,<none>
Cali,Fractal,4x12 Collection,7,5,<none>
Citrus,Fractal,4x12 Collection,12,1,<none>
Lerxst,Fractal,4x12 Collection,13,6,<none>
Recto,Fractal,4x12 Collection,7,1,<none>
Recto_New,Fractal,4x12 Collection,7,1,<none>
TV,Fractal,4x12 Collection,14,7,<none>
God's Cab,God's Cab,God's Cab,7,1,<none>
GuitarHack,GuitarHack,GuitarHack,NULL,NULL,<none>
Orange212,Danimae,Orange212,15,1,<none>
Port City OS2x12,Seane Ashe,Port City OS2x12,9,1,<none>
412_DZL-RL,Ownhammer,412_DZL-RL,16,1,<none>
412_DZL-RL,Ownhammer,412_DZL-RL,16,9,<none>
GTR_MES-ST,Ownhammer,GTR_MES-ST,7,1,<none>
412 DZL,Ownhammer,Heavy Hitters 1,17,1,<none>
412 DZL,Ownhammer,Heavy Hitters 1,17,9,<none>
412 DZL,Ownhammer,Heavy Hitters 1,17,10,<none>
412 MAR,Ownhammer,Heavy Hitters 1,18,4,<none>
412 MAR,Ownhammer,Heavy Hitters 1,18,2,<none>
412 MAR,Ownhammer,Heavy Hitters 1,18,11,<none>
412 MES,Ownhammer,Heavy Hitters 1,7,12,<none>
412 MES,Ownhammer,Heavy Hitters 1,7,13,<none>
412 MES,Ownhammer,Heavy Hitters 1,7,1,<none>
412 ORN,Ownhammer,Heavy Hitters 1,12,13,<none>
412 ORN,Ownhammer,Heavy Hitters 1,12,7,<none>
412 ORN,Ownhammer,Heavy Hitters 1,12,1,<none>
Tweed Deluxe • Celestion Blue,Redwirez,Redwirez,19,14,<none>
Tweed Deluxe • Jensen P12R,Redwirez,Redwirez,19,15,<none>
Supro Thunderbolt S6420 • Jensen 15'',Redwirez,Redwirez,20,16,<none>
Tweed Bassman • '57 Jensen P10Qs,Redwirez,Redwirez,21,17,<none>
'68 Marshall Basketweave • Celestion G12Ls,Redwirez,Redwirez,22,18,<none>
'68 Marshall Basketweave • Celestion G12M20s,Redwirez,Redwirez,22,19,<none>
'68 Marshall Basketweave • Vintage G12H30s,Redwirez,Redwirez,22,13,<none>
'68 Marshall Basketweave • Vintage G12M25s,Redwirez,Redwirez,22,7,<none>
'75 Hiwatt SE4123 • 50-watt Fane Purplebacks,Redwirez,Redwirez,23,20,<none>
Ampeg SVT 810 • SVT 10s • Cabinet IR Library,Redwirez,Bass Cabinets,24,21,<none>
Hartke 4.5XL • Hartke Aluminum 10s,Redwirez,Bass Cabinets,25,22,<none>
Bogner Uberkab • Celestion G12T-75s,Redwirez,Redwirez,26,2,<none>
Bogner Uberkab • Celestion Vintage 30s,Redwirez,Redwirez,26,1,<none>
ENGL Pro 4x12 • Vintage 30s,Redwirez,Redwirez,27,1,<none>
Fender Dual Showman • JBL D130s,Redwirez,Redwirez,28,23,<none>
Fender Twin • JBL D120Fs,Redwirez,Redwirez,29,24,<none>
Fender Twin • Jensen C12Ns,Redwirez,Redwirez,29,25,<none>
Marshall 1960 • Celestion G12T-75s,Redwirez,Redwirez,5,2,<none>
Marshall 1960 4x12 • Celestion G12Ms,Redwirez,Redwirez,5,6,<none>
Marshall 1960 4x12 • JBL K120s,Redwirez,Redwirez,5,26,<none>
Marshall 1960 4x12 • Vintage 30s,Redwirez,Redwirez,5,1,<none>
Marshall1960A-G12Ms,Redwirez,Redwirez,5,6,<none>
Marshall1960B-V30s,Redwirez,Redwirez,39,1,<none>
Matchless ES212 • Celestion G12H30,Redwirez,Redwirez,31,13,<none>
Matchless ES212 • Celestion G12M25,Redwirez,Redwirez,31,7,<none>
Mesa Rectifier 4x12 • Vintage 30s,Redwirez,Redwirez,7,1,<none>
Orange PPC412 4x12 • Vintage 30s,Redwirez,Redwirez,12,1,<none>
Peavey 5150 4x12 • Sheffield 1200s,Redwirez,Redwirez,32,27,<none>
Roland JC-120 • Roland 12s,Redwirez,Redwirez,33,37,<none>
